"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.79073982541412e-55,4.71475800231727,0.743,0.211,8.93511155061398e-51,"0","LTF"
4.58695573518226e-39,5.18550733531228,0.736,0.343,7.07767269938622e-35,"0","BIRC3"
1.11849976231329e-33,5.10685004010236,0.568,0.168,1.72584513324941e-29,"0","BCL2A1"
1.00171907922232e-25,4.98251484749906,0.797,0.612,1.54565253924004e-21,"0","RDH10"
4.21110344512204e-09,5.03522376761699,0.297,0.134,6.49773261582331e-05,"0","ORM2"
3.31079720469291e-115,7.67520771948332,0.826,0.038,5.10856008684116e-111,"1","ABRA"
4.80694785014913e-95,8.0741694128541,0.809,0.057,7.4171205327801e-91,"1","DCAF4L1"
1.69213632941736e-56,7.75738115989931,0.826,0.243,2.61096635629099e-52,"1","ABCA13"
2.35737383322459e-54,10.9186072397573,0.861,0.311,3.63742782466555e-50,"1","SFTPB"
3.7360675470829e-50,7.98701455474509,0.835,0.313,5.76475222514891e-46,"1","STX1B"
1.64169444215848e-62,5.85751912880172,0.748,0.125,2.53313452425054e-58,"2","DSG1"
8.76852281770789e-48,6.52275201829407,0.68,0.145,1.35298307077233e-43,"2","KRT81"
5.58921550623317e-37,4.98050579640197,0.602,0.132,8.62415952611778e-33,"2","CDH2"
6.25830962740669e-08,5.62031154892474,0.311,0.135,0.000965657175508852,"2","FBN3"
0.000373783420021546,5.35269291080328,0.252,0.143,1,"2","CCDC181"
2.42660381248553e-15,8.79205426046258,0.409,0.134,3.74424968266518e-11,"3","CD8A"
3.6876366048588e-14,8.78124204656007,0.409,0.144,5.69002328129712e-10,"3","KLRK1"
3.69289485029091e-09,8.5988568611012,0.341,0.129,5.69813675399888e-05,"3","ICOS"
4.36492097104525e-07,9.437951264022,0.295,0.129,0.00673507305832282,"3","ZNF683"
1.74115993861806e-06,8.5143273612781,0.295,0.135,0.0268660978528767,"3","GZMA"
6.28339480131025e-09,6.57730352643831,0.354,0.133,9.69527817842171e-05,"4","MAGEA3"
9.22772305771414e-09,7.48025823590886,0.342,0.128,0.000142383766780529,"4","MAGEA4"
2.14508864134915e-06,7.62486914835064,0.316,0.139,0.0330987177360174,"4","CSAG1"
0.000107818707640595,6.46842754069339,0.278,0.136,1,"4","CSAG2"
0.000561961817336932,8.18914942559544,0.266,0.141,1,"4","MAGEA12"
2.17621845831665e-33,8.16804583395943,0.639,0.128,3.35790508118259e-29,"5","SLC26A3"
1.55912307689371e-12,7.69148667296528,0.426,0.132,2.40572690764699e-08,"5","MUC6"
1.0618249336688e-11,6.4686839556366,0.426,0.137,1.63839587265095e-07,"5","MUC4"
2.07861695531939e-06,6.33382796321534,0.328,0.136,0.0320730596205782,"5","MISP"
2.27999423324755e-06,6.4426993787348,0.328,0.138,0.0351803110190097,"5","LYPD6"
2.97639137294875e-63,9.73780377231056,0.885,0.109,4.59257188845993e-59,"6","CD163"
7.00554460394071e-51,9.39359058252254,0.808,0.118,1.08095553238805e-46,"6","CSF1R"
4.21400149740966e-38,9.36880984869016,0.692,0.114,6.5022043105031e-34,"6","C1QB"
1.19880700262058e-08,9.54920645053409,0.365,0.127,0.000184975920504356,"6","FCN1"
1.55334825076462e-05,9.59914511124849,0.308,0.132,0.239681635092981,"6","FOLR2"
9.71481467354014e-11,9.17961728025479,0.412,0.131,1.49899590412724e-06,"7","DLK1"
5.69655379073676e-07,7.76992758250114,0.353,0.138,0.00878978249910682,"7","SCARA5"
2.12940360532547e-06,7.92850946382319,0.333,0.132,0.032856697630172,"7","TNN"
0.00017210576466707,7.83912973705229,0.294,0.141,1,"7","COL6A6"
0.00145623556266696,8.0948543230339,0.275,0.14,1,"7","LAMC3"
1.69610872580343e-46,7.63927000220257,0.796,0.121,2.6170957639147e-42,"8","C2orf40"
7.53776635113166e-42,7.51979952526572,0.776,0.123,1.16307734797961e-37,"8","COL17A1"
3.16577538757344e-08,7.51531048620893,0.388,0.14,0.000488479142302582,"8","GRIA4"
9.30355128032818e-05,7.55683747494539,0.306,0.141,1,"8","CAPN11"
0.00400198268613155,8.42842148338143,0.265,0.143,1,"8","SMYD1"
3.25691154995164e-24,8.32250928155628,0.651,0.14,5.02541452157539e-20,"9","DHRS2"
4.08299761474528e-20,8.02869123960864,0.581,0.135,6.30006531955196e-16,"9","TUBA3D"
5.11164912555392e-09,7.49393201790141,0.419,0.136,7.8872746007297e-05,"9","RET"
0.00190919011030878,7.68703752248472,0.279,0.142,1,"9","CHRDL2"
0.00214216550280268,8.06799536032094,0.279,0.145,1,"9","PSCA"
3.82953716699371e-23,6.93093553692594,0.974,0.547,5.9089758486713e-19,"10","PIGR"
4.26127093297726e-11,6.82808463659519,0.462,0.136,6.57514104958392e-07,"10","MYEOV"
1.26809591950682e-07,6.12249762270573,0.41,0.148,0.00195667200379903,"10","SCGB3A1"
0.000455813969212429,7.0069617857048,0.308,0.139,1,"10","CYP24A1"
0.00181599974944018,8.73369397255381,0.282,0.14,1,"10","SLC5A1"
8.10260171624382e-23,7.94152362636011,0.741,0.132,1.25023144481642e-18,"11","COL11A1"
2.85953231359232e-17,8.13113712637183,0.63,0.128,4.41225835987295e-13,"11","COL10A1"
1.67170000646198e-16,8.96505853622164,0.63,0.128,2.57943310997083e-12,"11","LRRC15"
7.48445840935018e-16,8.24599514573357,0.63,0.142,1.15485193256273e-11,"11","COL8A1"
0.00727269696225488,8.0072664529641,0.296,0.143,1,"11","SCG2"
9.22402327127916e-36,10.6064760957984,0.955,0.123,1.42326679075837e-31,"12","PRG4"
5.38141768363701e-35,13.4686475777494,0.909,0.111,8.3035274858519e-31,"12","HP"
8.84433701151759e-15,10.0855908453965,0.636,0.131,1.36468120087716e-10,"12","VTN"
7.65669910475264e-07,8.52281674224222,0.455,0.139,0.0118142867186333,"12","DPYS"
1.54441448055691e-05,9.43581373273754,0.409,0.135,0.238303154349932,"12","AADAC"
1.43319786149966e-11,8.00310628534405,0.688,0.152,2.21142430029398e-07,"13","CCDC102B"
3.66411808659093e-10,9.7317898148236,0.625,0.138,5.6537342076098e-06,"13","GJA4"
1.5487590327615e-06,9.42090934774066,0.5,0.14,0.02389735187551,"13","HEYL"
6.86778432977791e-05,7.7648214405652,0.438,0.142,1,"13","HIGD1B"
0.00128977739717511,9.05705365977531,0.375,0.141,1,"13","OR51E1"
2.32742070754435e-20,10.8414410154266,0.867,0.132,3.59121015174093e-16,"14","PLVAP"
1.30886976614856e-17,9.88043474024483,0.867,0.156,2.01958604916723e-13,"14","EMCN"
4.7215577680768e-11,9.35636833330235,0.667,0.143,7.28536363614251e-07,"14","PREX2"
2.50672639479071e-09,10.7077234030185,0.6,0.135,3.86787882716206e-05,"14","CLDN5"
3.86691487366428e-07,9.41851309612516,0.533,0.14,0.00596664965006399,"14","NPR1"
